"SUID","interaction","name","selected","shared interaction","shared name"
"9464","child_of","","false","child_of",""
"6975","linked_to","","false","linked_to",""
"4475","child_of","","false","child_of",""
"5409","child_of","","false","child_of",""
"4846","child_of","","false","child_of",""
"9668","child_of","","false","child_of",""
"8409","child_of","","false","child_of",""
"6544","child_of","","false","child_of",""
"8014","child_of","","false","child_of",""
"9575","linked_to","","false","linked_to",""
"9784","child_of","","false","child_of",""
"8138","child_of","","false","child_of",""
"6728","child_of","","false","child_of",""
"9372","linked_to","","false","linked_to",""
"7635","child_of","","false","child_of",""
"9948","child_of","","false","child_of",""
"9220","linked_to","","false","linked_to",""
"8589","child_of","","false","child_of",""
"4207","linked_to","","false","linked_to",""
"7847","child_of","","false","child_of",""
"7518","child_of","","false","child_of",""
"9629","child_of","","false","child_of",""
"5804","child_of","","false","child_of",""
"7825","child_of","","false","child_of",""
"9365","linked_to","","false","linked_to",""
"5661","linked_to","","false","linked_to",""
"4533","linked_to","","false","linked_to",""
"8594","child_of","","false","child_of",""
"9945","child_of","","false","child_of",""
"6085","child_of","","false","child_of",""
"7782","linked_to","","false","linked_to",""
"6731","child_of","","false","child_of",""
"9415","child_of","","false","child_of",""
"5080","child_of","","false","child_of",""
"9115","child_of","","false","child_of",""
"4807","child_of","","false","child_of",""
"5810","child_of","","false","child_of",""
"9628","child_of","","false","child_of",""
"5311","child_of","","false","child_of",""
"7352","child_of","","false","child_of",""
"5481","child_of","","false","child_of",""
"6908","child_of","","false","child_of",""
"6852","child_of","","false","child_of",""
"4534","child_of","","false","child_of",""
"7855","child_of","","false","child_of",""
"7471","child_of","","false","child_of",""
"4892","child_of","","false","child_of",""
"7042","child_of","","false","child_of",""
"8677","child_of","","false","child_of",""
"9425","child_of","","false","child_of",""
"7448","child_of","","false","child_of",""
"5799","child_of","","false","child_of",""
"8731","linked_to","","false","linked_to",""
"5114","child_of","","false","child_of",""
"8174","child_of","","false","child_of",""
"6143","child_of","","false","child_of",""
"6628","child_of","","false","child_of",""
"6386","child_of","","false","child_of",""
"4922","linked_to","","false","linked_to",""
"5582","child_of","","false","child_of",""
"9305","linked_to","","false","linked_to",""
"8057","linked_to","","false","linked_to",""
"7819","child_of","","false","child_of",""
"4476","child_of","","false","child_of",""
"4555","linked_to","","false","linked_to",""
"8013","child_of","","false","child_of",""
"5203","child_of","","false","child_of",""
"5616","child_of","","false","child_of",""
"9108","child_of","","false","child_of",""
"7003","linked_to","","false","linked_to",""
"8110","child_of","","false","child_of",""
"7663","child_of","","false","child_of",""
"5596","child_of","","false","child_of",""
"4746","child_of","","false","child_of",""
"8983","linked_to","","false","linked_to",""
"6222","child_of","","false","child_of",""
"8318","linked_to","","false","linked_to",""
"7071","linked_to","","false","linked_to",""
"5032","child_of","","false","child_of",""
"4958","child_of","","false","child_of",""
"7634","child_of","","false","child_of",""
"5352","linked_to","","false","linked_to",""
"8023","child_of","","false","child_of",""
"6487","child_of","","false","child_of",""
"4885","child_of","","false","child_of",""
"9231","child_of","","false","child_of",""
"4549","child_of","","false","child_of",""
"9615","child_of","","false","child_of",""
"7866","child_of","","false","child_of",""
"5958","child_of","","false","child_of",""
"7116","child_of","","false","child_of",""
"5841","child_of","","false","child_of",""
"8288","child_of","","false","child_of",""
"8990","linked_to","","false","linked_to",""
"6189","child_of","","false","child_of",""
"6077","child_of","","false","child_of",""
"9154","child_of","","false","child_of",""
"6634","child_of","","false","child_of",""
"8356","child_of","","false","child_of",""
"4949","child_of","","false","child_of",""
"9258","child_of","","false","child_of",""
"7246","linked_to","","false","linked_to",""
"5561","child_of","","false","child_of",""
"8652","child_of","","false","child_of",""
"9251","child_of","","false","child_of",""
"6627","child_of","","false","child_of",""
