start	end	type
210	1605	child_of
210	588	linked_to
572	105	child_of
3230	1177	child_of
271	1413	child_of
2571	355	child_of
2337	3813	child_of
1856	1730	child_of
1381	1122	child_of
523	1317	child_of
97	537	child_of
3690	1406	child_of
3245	3690	child_of
3321	2305	child_of
683	3178	child_of
936	3765	child_of
1544	3768	child_of
1544	1908	linked_to
1544	3063	linked_to
812	538	child_of
2503	3182	child_of
2503	2170	linked_to
3176	913	child_of
3176	3283	linked_to
3176	1915	linked_to
3176	525	linked_to
3591	826	child_of
4114	1128	child_of
4022	2525	child_of
1272	3519	child_of
1272	1311	linked_to
1272	3523	linked_to
701	30	child_of
701	3068	linked_to
2146	629	child_of
3335	2079	child_of
3370	819	child_of
3265	2281	child_of
325	1392	child_of
1387	1270	child_of
1387	3017	linked_to
3872	1409	child_of
238	2485	child_of
2591	983	child_of
2591	993	linked_to
2798	922	child_of
2120	790	child_of
2509	133	child_of
2509	3395	linked_to
2509	2876	linked_to
952	3297	child_of
849	1726	child_of
406	3965	child_of
4080	3491	child_of
4080	2245	linked_to
3344	3812	child_of
143	1078	child_of
553	3243	child_of
553	3423	linked_to
1139	79	child_of
1399	1469	child_of
1399	2230	linked_to
2570	1349	child_of
2570	3858	linked_to
2876	859	child_of
2876	133	linked_to
3423	3123	child_of
3805	2605	child_of
299	4105	child_of
3854	2111	child_of
1357	292	child_of
876	473	child_of
2963	3741	child_of
1607	157	child_of
3229	302	child_of
2776	671	child_of
751	435	child_of
751	1491	linked_to
1542	1088	child_of
4032	765	child_of
383	2355	child_of
383	2820	linked_to
383	3228	linked_to
3513	1268	child_of
3513	3501	linked_to
2882	1915	child_of
2882	913	linked_to
1472	1978	child_of
2122	1554	child_of
1154	247	child_of
703	3008	child_of
53	2239	child_of
53	1631	linked_to
53	2786	linked_to
53	2939	linked_to
3890	1912	child_of
3890	3069	linked_to
3890	3969	linked_to
3890	532	linked_to
4109	19	child_of
4109	3132	linked_to
4109	1393	linked_to
4109	2888	linked_to
4109	1033	linked_to
4109	1354	linked_to
667	3980	child_of
1166	3394	child_of
1730	1640	child_of
2700	2864	child_of
2995	2864	child_of
3361	658	child_of
4042	823	child_of
4034	2886	child_of
1147	1397	child_of
716	401	child_of
2096	773	child_of
2308	3744	child_of
1833	1363	child_of
3070	4105	child_of
2593	74	child_of
778	2401	child_of
1677	378	child_of
3997	4050	child_of
3997	3294	linked_to
427	1348	child_of
3584	96	child_of
3584	577	linked_to
3584	3641	linked_to
3484	497	child_of
1740	3004	child_of
2105	1093	child_of
1209	2593	child_of
563	3391	child_of
529	3283	child_of
529	3044	linked_to
529	699	linked_to
38	2285	child_of
3954	2689	child_of
513	3954	child_of
2255	513	child_of
1933	1033	child_of
1897	1570	child_of
2285	1570	child_of
2727	2956	child_of
3407	1480	child_of
488	1294	child_of
119	2432	child_of
1515	1462	child_of
1068	2013	child_of
1068	3153	linked_to
2156	301	child_of
1744	3538	child_of
1744	2909	linked_to
3395	2138	child_of
2768	2902	child_of
612	2567	child_of
1308	612	child_of
3601	2592	child_of
174	2722	child_of
2395	174	child_of
3031	1677	child_of
1756	3117	child_of
2045	755	child_of
787	2032	child_of
787	31	linked_to
688	1366	child_of
121	2449	child_of
3629	1841	child_of
3782	523	child_of
2432	71	child_of
2008	1837	child_of
2008	2009	linked_to
1367	2169	child_of
1326	1126	child_of
1825	1852	child_of
1825	983	linked_to
1825	933	linked_to
1825	610	linked_to
2658	168	child_of
2658	3585	linked_to
3244	1522	child_of
55	2694	child_of
55	950	linked_to
55	2585	linked_to
3823	2058	child_of
3823	3480	linked_to
3823	2086	linked_to
3823	2927	linked_to
405	2269	child_of
405	3585	linked_to
920	3346	child_of
920	1058	linked_to
920	3000	linked_to
920	1063	linked_to
920	2324	linked_to
920	925	linked_to
920	517	linked_to
920	3040	linked_to
1868	2461	child_of
1506	2298	child_of
1506	2254	linked_to
1506	3823	linked_to
1506	3951	linked_to
1506	3277	linked_to
1506	1752	linked_to
1506	3826	linked_to
1506	873	linked_to
1506	571	linked_to
1506	3024	linked_to
2953	2971	child_of
2675	880	child_of
783	3288	child_of
1113	1323	child_of
3810	1281	child_of
3810	3756	linked_to
348	1014	child_of
2608	862	child_of
3268	1616	child_of
1593	1703	child_of
1593	3833	linked_to
1593	2000	linked_to
2134	87	child_of
603	2695	child_of
473	3114	child_of
4062	1588	child_of
3471	3531	child_of
3471	1063	linked_to
3543	305	child_of
2494	2691	child_of
2009	84	child_of
1452	3975	child_of
1089	1043	child_of
2190	2289	child_of
2730	2505	child_of
2730	111	linked_to
2730	3723	linked_to
2730	1676	linked_to
2730	2653	linked_to
2872	4085	child_of
2872	2136	linked_to
2872	2788	linked_to
2872	2501	linked_to
2872	3758	linked_to
2872	738	linked_to
4070	2757	child_of
3379	1534	child_of
3379	1414	linked_to
494	699	child_of
555	494	child_of
1701	3858	child_of
1140	3708	child_of
1140	3593	linked_to
1140	1041	linked_to
3285	575	child_of
3285	2511	linked_to
2757	1656	child_of
736	2362	child_of
736	2302	linked_to
736	1506	linked_to
736	408	linked_to
736	3063	linked_to
922	726	child_of
3526	2165	child_of
241	1559	child_of
241	2292	linked_to
241	3374	linked_to
2508	1504	child_of
2688	2766	child_of
1056	1815	child_of
1999	880	child_of
708	976	child_of
46	3716	child_of
3634	3811	child_of
3121	3111	child_of
3024	3473	child_of
3024	2468	linked_to
2624	3470	child_of
2011	1367	child_of
1425	3334	child_of
1439	1099	child_of
1559	1538	child_of
2193	540	child_of
2193	3705	linked_to
2193	2862	linked_to
2666	3333	child_of
3681	2569	child_of
3681	2183	linked_to
3988	2316	child_of
459	100	child_of
1204	1117	child_of
1204	2645	linked_to
2093	149	child_of
1333	1419	child_of
1333	2975	linked_to
1333	317	linked_to
2803	2849	child_of
2077	2179	child_of
126	2534	child_of
126	2077	linked_to
658	1448	child_of
918	1130	child_of
481	224	child_of
2492	2618	child_of
2492	705	linked_to
2859	606	child_of
1533	2835	child_of
1778	1499	child_of
1778	3683	linked_to
756	2778	child_of
134	235	child_of
3637	1039	child_of
3929	3127	child_of
3095	939	child_of
2723	2539	child_of
2723	1947	linked_to
2151	3665	child_of
1641	1512	child_of
863	1407	child_of
863	294	linked_to
863	1883	linked_to
1663	279	child_of
1663	3592	linked_to
1663	3872	linked_to
1663	1767	linked_to
1663	4093	linked_to
1663	2091	linked_to
1663	470	linked_to
1663	1189	linked_to
1663	252	linked_to
2289	1938	child_of
2785	2497	child_of
2766	213	child_of
3270	1184	child_of
4121	373	child_of
511	1100	child_of
433	1979	child_of
1883	1407	child_of
2975	1925	child_of
2975	2273	linked_to
2073	2041	child_of
2073	317	linked_to
202	3976	child_of
710	3606	child_of
1044	3287	child_of
562	3432	child_of
562	3193	linked_to
2568	73	child_of
3065	709	child_of
3065	2975	linked_to
1310	2690	child_of
1949	875	child_of
875	2698	child_of
45	2135	child_of
3801	2198	child_of
113	2541	child_of
3349	2019	child_of
2402	2281	child_of
1866	678	child_of
1866	2222	linked_to
1866	1659	linked_to
1486	2784	child_of
2715	3900	child_of
2715	4057	linked_to
3135	2734	child_of
3765	2142	child_of
3765	4055	linked_to
4057	3539	child_of
4049	4040	child_of
4049	2693	linked_to
4049	2170	linked_to
4049	2977	linked_to
872	1352	child_of
1479	1510	child_of
1638	1991	child_of
1794	2369	child_of
3829	1668	child_of
3033	3499	child_of
452	4060	child_of
452	3148	linked_to
3408	1032	child_of
1373	2948	child_of
1373	1494	linked_to
1284	1634	child_of
2816	1053	child_of
1579	2510	child_of
75	698	child_of
29	116	child_of
29	816	linked_to
2996	4058	child_of
3016	3989	child_of
2451	89	child_of
2788	520	child_of
1274	117	child_of
1277	1434	child_of
704	4057	child_of
111	4000	child_of
111	4057	linked_to
3391	1676	child_of
2499	619	child_of
2855	3622	child_of
3520	70	child_of
1624	2159	child_of
1624	1158	linked_to
360	632	child_of
360	1571	linked_to
1009	1886	child_of
1498	3283	child_of
1817	3717	child_of
2032	3842	child_of
3671	2159	child_of
3671	3382	linked_to
3671	1624	linked_to
3141	545	child_of
3141	2457	linked_to
3141	1121	linked_to
3141	1024	linked_to
3141	237	linked_to
776	914	child_of
776	2293	linked_to
776	496	linked_to
776	3303	linked_to
3683	763	child_of
3683	1471	linked_to
3683	2437	linked_to
3683	1352	linked_to
1309	408	child_of
870	2761	child_of
870	2366	linked_to
870	3777	linked_to
870	3160	linked_to
2335	3390	child_of
1546	3306	child_of
129	1145	child_of
573	12	child_of
3188	3353	child_of
3256	4008	child_of
2758	943	child_of
2392	3850	child_of
884	2107	child_of
904	2184	child_of
904	2170	linked_to
904	2266	linked_to
319	2116	child_of
319	1876	linked_to
211	269	child_of
3642	3485	child_of
3147	1718	child_of
3147	1259	linked_to
3147	2663	linked_to
3405	1245	child_of
3405	774	linked_to
27	1254	child_of
1379	2380	child_of
944	2257	child_of
944	1363	linked_to
944	1197	linked_to
1530	2604	child_of
1734	2633	child_of
2597	718	child_of
2473	4021	child_of
2580	893	child_of
3557	424	child_of
614	2518	child_of
614	1952	linked_to
614	2365	linked_to
3627	796	child_of
394	1353	child_of
2054	1433	child_of
1450	2157	child_of
1450	1714	linked_to
1414	1586	child_of
2079	2034	child_of
730	1263	child_of
1263	2728	child_of
24	4094	child_of
3608	1311	child_of
2311	1650	child_of
2952	3222	child_of
1874	3267	child_of
1874	1919	linked_to
1874	3674	linked_to
1874	3326	linked_to
1874	3886	linked_to
1874	3753	linked_to
1343	2812	child_of
831	3191	child_of
831	1197	linked_to
613	1545	child_of
2434	2962	child_of
3208	1650	child_of
3009	808	child_of
2288	3854	child_of
21	3352	child_of
816	1025	child_of
1518	1413	child_of
2241	3142	child_of
2241	977	linked_to
3167	3380	child_of
2382	910	child_of
4	1052	child_of
4029	1988	child_of
744	1013	child_of
1819	138	child_of
1755	1040	child_of
3317	100	child_of
2250	1547	child_of
112	2348	child_of
112	3702	linked_to
901	3008	child_of
3565	3402	child_of
3328	604	child_of
2755	4063	child_of
2755	686	linked_to
2755	1013	linked_to
3209	1472	child_of
1320	2026	child_of
1318	512	child_of
1318	1808	linked_to
1005	3972	child_of
1005	1740	linked_to
1005	2284	linked_to
400	3856	child_of
3831	2508	child_of
2852	3154	child_of
3528	750	child_of
2684	1590	child_of
2251	3812	child_of
1193	1015	child_of
1715	2315	child_of
2290	536	child_of
2682	1476	child_of
2682	2100	linked_to
2682	2373	linked_to
2325	3183	child_of
2325	2635	linked_to
2325	317	linked_to
2325	439	linked_to
2325	2248	linked_to
4054	1872	child_of
3397	2274	child_of
826	50	child_of
800	1341	child_of
2056	2564	child_of
2056	793	linked_to
2056	1848	linked_to
1672	2796	child_of
2846	400	child_of
2708	4102	child_of
1461	721	child_of
1461	3265	linked_to
1848	1672	child_of
415	2796	child_of
404	448	child_of
3130	1522	child_of
3749	1151	child_of
2163	990	child_of
2279	249	child_of
1574	725	child_of
1574	1752	linked_to
1574	1146	linked_to
1574	3823	linked_to
1390	1515	child_of
943	2968	child_of
1829	1863	child_of
2512	481	child_of
3311	1125	child_of
3311	1790	linked_to
3311	1160	linked_to
3311	1311	linked_to
2584	35	child_of
