start	end	type
2294	1664	child_of
1057	2470	child_of
1057	3930	linked_to
1057	4004	linked_to
3846	231	child_of
231	3135	child_of
3025	3558	child_of
2881	2137	child_of
2231	2317	child_of
2231	415	linked_to
1965	1168	child_of
687	1772	child_of
565	558	child_of
207	75	child_of
3788	2783	child_of
3348	1929	child_of
3348	3157	linked_to
3427	3497	child_of
3907	489	child_of
654	1314	child_of
654	571	linked_to
1108	986	child_of
2262	2424	child_of
2262	2350	linked_to
2262	3290	linked_to
2262	2069	linked_to
1600	3167	child_of
2132	3973	child_of
2956	3848	child_of
4075	2858	child_of
3554	2187	child_of
802	3554	child_of
696	1335	child_of
696	2902	linked_to
548	2081	child_of
1107	3811	child_of
1107	629	linked_to
2898	2897	child_of
2081	2545	child_of
3325	2006	child_of
1314	2632	child_of
1961	685	child_of
327	2397	child_of
418	1125	child_of
418	187	linked_to
418	1268	linked_to
3833	37	child_of
3332	474	child_of
3332	3496	linked_to
2724	1404	child_of
2699	1197	child_of
2699	3191	linked_to
2699	3940	linked_to
2699	1747	linked_to
2224	769	child_of
2224	2314	linked_to
2224	617	linked_to
2224	610	linked_to
1516	1954	child_of
1329	3716	child_of
3383	734	child_of
179	2809	child_of
601	1046	child_of
1185	1086	child_of
1421	1443	child_of
2669	2995	child_of
2838	873	child_of
3679	1306	child_of
3605	251	child_of
3605	2921	linked_to
3605	3039	linked_to
3605	1354	linked_to
974	234	child_of
435	1639	child_of
1673	1099	child_of
1673	617	linked_to
575	3875	child_of
3304	3900	child_of
3304	3185	linked_to
2711	327	child_of
2711	930	linked_to
2711	396	linked_to
2711	2424	linked_to
3957	2524	child_of
3226	3423	child_of
1768	1681	child_of
1891	2376	child_of
499	1430	child_of
499	2870	linked_to
499	1068	linked_to
499	2210	linked_to
366	438	child_of
366	44	linked_to
366	1559	linked_to
3975	511	child_of
3975	2725	linked_to
11	3702	child_of
11	754	linked_to
11	418	linked_to
11	1013	linked_to
11	4004	linked_to
2485	879	child_of
2479	1842	child_of
2185	3808	child_of
1626	3008	child_of
1626	2363	linked_to
1626	1827	linked_to
1626	3004	linked_to
1626	703	linked_to
1021	951	child_of
3612	3974	child_of
414	3447	child_of
414	1885	linked_to
414	460	linked_to
414	404	linked_to
414	1267	linked_to
414	2925	linked_to
873	3974	child_of
3210	4019	child_of
1983	1138	child_of
2734	2579	child_of
3185	1748	child_of
3518	534	child_of
3892	3518	child_of
3298	3590	child_of
3298	3834	linked_to
534	153	child_of
496	1111	child_of
496	3480	linked_to
496	1371	linked_to
496	2086	linked_to
496	55	linked_to
84	2318	child_of
1403	3137	child_of
2981	28	child_of
2604	1566	child_of
2772	4054	child_of
2885	2838	child_of
1086	2775	child_of
1872	3660	child_of
910	527	child_of
14	3751	child_of
14	3450	linked_to
14	1496	linked_to
14	1137	linked_to
3365	1184	child_of
4071	3571	child_of
2586	3552	child_of
2099	1410	child_of
2099	2245	linked_to
2141	1100	child_of
1749	1722	child_of
3186	593	child_of
3684	3904	child_of
483	4064	child_of
3546	1214	child_of
1503	25	child_of
1806	395	child_of
1806	2315	linked_to
1806	1259	linked_to
1806	1989	linked_to
2659	3494	child_of
2749	2270	child_of
3693	1259	child_of
3693	1718	linked_to
3693	395	linked_to
3206	2692	child_of
676	3668	child_of
512	1198	child_of
295	2218	child_of
1187	3800	child_of
2692	2290	child_of
2269	2293	child_of
2269	2448	linked_to
2269	914	linked_to
2281	548	child_of
3300	239	child_of
1623	511	child_of
1906	2126	child_of
803	3533	child_of
803	1506	linked_to
803	1146	linked_to
352	3926	child_of
3485	3562	child_of
3705	1840	child_of
3705	3551	linked_to
2617	2496	child_of
2126	1000	child_of
2118	4122	child_of
1567	2919	child_of
3926	20	child_of
655	1351	child_of
3750	1010	child_of
3146	1537	child_of
1604	2676	child_of
2386	2250	child_of
2878	2386	child_of
3548	1570	child_of
653	668	child_of
36	2536	child_of
1440	4006	child_of
1217	3263	child_of
2360	1917	child_of
1982	1037	child_of
3333	1905	child_of
2598	2555	child_of
2476	1705	child_of
1997	733	child_of
1389	1267	child_of
1389	3045	linked_to
1389	856	linked_to
1278	1852	child_of
611	3317	child_of
476	416	child_of
3633	2284	child_of
3354	800	child_of
1826	2653	child_of
1826	3723	linked_to
2618	3118	child_of
2618	829	linked_to
885	2161	child_of
1788	1175	child_of
1788	2538	linked_to
1788	1405	linked_to
1788	1154	linked_to
1788	570	linked_to
1788	4035	linked_to
3893	2812	child_of
3536	2445	child_of
3127	1851	child_of
3963	3037	child_of
3963	3451	linked_to
3963	589	linked_to
3963	2752	linked_to
3963	3073	linked_to
3963	141	linked_to
3963	784	linked_to
3963	1615	linked_to
2313	2815	child_of
1605	3799	child_of
2967	4107	child_of
2967	1119	linked_to
2553	3576	child_of
2553	3969	linked_to
3481	3333	child_of
3856	763	child_of
1182	1123	child_of
1182	1385	linked_to
677	4062	child_of
1995	148	child_of
2157	187	child_of
2414	2506	child_of
3132	250	child_of
3066	2631	child_of
3066	3779	linked_to
2569	3481	child_of
2569	4023	linked_to
659	2261	child_of
1695	1921	child_of
1287	3398	child_of
561	2668	child_of
561	488	linked_to
561	418	linked_to
3956	247	child_of
3572	1651	child_of
2913	3656	child_of
2959	3655	child_of
1654	3406	child_of
2085	2834	child_of
2085	3731	linked_to
2085	4075	linked_to
607	652	child_of
3676	887	child_of
3753	861	child_of
208	3696	child_of
208	3228	linked_to
1977	2172	child_of
1446	1996	child_of
3242	33	child_of
2893	729	child_of
3621	2445	child_of
3621	574	linked_to
3621	957	linked_to
5	2437	child_of
5	1471	linked_to
1064	5	child_of
773	481	child_of
1436	765	child_of
2244	3169	child_of
2968	2677	child_of
3307	3451	child_of
3331	1119	child_of
3331	4107	linked_to
2942	1378	child_of
765	3854	child_of
1795	3429	child_of
1795	3115	linked_to
1244	191	child_of
1244	1298	linked_to
501	3454	child_of
423	2198	child_of
3432	2321	child_of
3389	2910	child_of
3998	3600	child_of
3998	2572	linked_to
2196	729	child_of
2640	2248	child_of
2640	4067	linked_to
2640	439	linked_to
1133	677	child_of
3350	1021	child_of
127	4117	child_of
641	2552	child_of
1773	3365	child_of
927	103	child_of
2782	2027	child_of
2211	3407	child_of
169	3374	child_of
169	225	linked_to
2412	1405	child_of
2412	3113	linked_to
2412	2538	linked_to
2412	4035	linked_to
520	3918	child_of
3884	1477	child_of
2050	3145	child_of
283	2984	child_of
3232	2542	child_of
1577	7	child_of
1577	419	linked_to
2696	785	child_of
260	2619	child_of
798	754	child_of
3105	1431	child_of
446	2259	child_of
1934	1618	child_of
3807	1934	child_of
3807	517	linked_to
877	2520	child_of
3155	2008	child_of
3155	972	linked_to
3155	2170	linked_to
3645	2346	child_of
1454	1702	child_of
2759	3183	child_of
2759	2635	linked_to
2759	439	linked_to
2759	575	linked_to
793	3164	child_of
793	885	linked_to
1477	2256	child_of
3966	1563	child_of
123	2178	child_of
1986	1786	child_of
1646	410	child_of
3058	1192	child_of
3058	3167	linked_to
2349	2941	child_of
3586	188	child_of
2806	2311	child_of
410	3366	child_of
3868	1070	child_of
1870	3086	child_of
482	370	child_of
3240	675	child_of
1603	4005	child_of
2974	315	child_of
2555	1819	child_of
591	501	child_of
1184	1245	child_of
1199	968	child_of
968	1460	child_of
85	3914	child_of
85	1624	linked_to
3553	767	child_of
2441	1249	child_of
2824	768	child_of
2824	47	linked_to
2824	639	linked_to
2315	3158	child_of
2315	1469	linked_to
2014	600	child_of
761	3634	child_of
1275	471	child_of
3541	1387	child_of
3541	1503	linked_to
3541	438	linked_to
3541	3761	linked_to
172	3363	child_of
3215	3236	child_of
2736	1502	child_of
2736	3593	linked_to
2736	2222	linked_to
203	1083	child_of
203	2802	linked_to
3732	3657	child_of
1369	3063	child_of
1369	3980	linked_to
1369	3951	linked_to
67	1115	child_of
2057	636	child_of
1838	3724	child_of
3724	1789	child_of
2526	3732	child_of
342	1743	child_of
3096	3793	child_of
3096	829	linked_to
235	3530	child_of
1475	2281	child_of
1475	3964	linked_to
1475	721	linked_to
3000	2572	child_of
3000	3834	linked_to
1315	399	child_of
2445	807	child_of
3959	2533	child_of
3959	1893	linked_to
3959	3941	linked_to
1051	1742	child_of
2792	1051	child_of
770	2205	child_of
770	2170	linked_to
770	1022	linked_to
1117	215	child_of
3380	4113	child_of
181	2215	child_of
181	3296	linked_to
3054	212	child_of
3343	1840	child_of
3343	3705	linked_to
1561	1840	child_of
1561	3551	linked_to
2347	855	child_of
3061	1549	child_of
2560	1357	child_of
4001	867	child_of
3751	485	child_of
1082	1722	child_of
574	783	child_of
2535	112	child_of
1843	2289	child_of
1843	1642	linked_to
3496	1267	child_of
3496	414	linked_to
3496	474	linked_to
3496	2958	linked_to
2116	554	child_of
439	251	child_of
439	3412	linked_to
439	3183	linked_to
3014	767	child_of
1703	774	child_of
1617	2852	child_of
2933	836	child_of
1254	3794	child_of
2442	913	child_of
2442	3283	linked_to
2442	1541	linked_to
2442	1915	linked_to
2442	525	linked_to
3871	238	child_of
3871	3037	linked_to
1079	914	child_of
1079	2293	linked_to
1079	496	linked_to
1079	3303	linked_to
2425	1262	child_of
644	4091	child_of
1092	2766	child_of
1092	1510	linked_to
1092	2676	linked_to
1092	3834	linked_to
1092	2266	linked_to
1092	1167	linked_to
1092	762	linked_to
3117	1938	child_of
536	2741	child_of
2450	873	child_of
2976	678	child_of
1442	2309	child_of
2306	4038	child_of
3169	1330	child_of
2902	572	child_of
3616	4010	child_of
3826	2058	child_of
3826	3473	linked_to
3826	2170	linked_to
3826	3920	linked_to
3826	2293	linked_to
3826	3707	linked_to
1126	1864	child_of
545	2159	child_of
2324	3915	child_of
2324	54	linked_to
2324	261	linked_to
2324	2120	linked_to
2324	1752	linked_to
2324	1072	linked_to
2324	287	linked_to
2324	3394	linked_to
1307	541	child_of
2375	433	child_of
3063	1110	child_of
3063	2291	linked_to
3151	3922	child_of
3661	1105	child_of
137	1218	child_of
137	2275	linked_to
1218	3344	child_of
822	1483	child_of
822	809	linked_to
1483	488	child_of
3928	1265	child_of
2994	2931	child_of
2739	1269	child_of
2471	470	child_of
1286	1388	child_of
2010	2112	child_of
735	16	child_of
16	1010	child_of
2868	4076	child_of
3519	66	child_of
2397	3272	child_of
3002	2212	child_of
2607	3716	child_of
2607	1329	linked_to
2607	46	linked_to
2607	2354	linked_to
2197	1466	child_of
239	1864	child_of
3218	2343	child_of
649	1404	child_of
649	574	linked_to
649	849	linked_to
649	3789	linked_to
649	2668	linked_to
3914	1158	child_of
1631	3029	child_of
1631	1947	linked_to
1038	2062	child_of
2237	2750	child_of
2619	3114	child_of
3163	1660	child_of
3734	3063	child_of
3734	3977	linked_to
3734	1153	linked_to
3859	2638	child_of
3859	2162	linked_to
3859	751	linked_to
527	3598	child_of
836	627	child_of
1368	3420	child_of
3747	800	child_of
3004	901	child_of
3004	3354	linked_to
3004	2993	linked_to
3004	3747	linked_to
2677	2917	child_of
2284	901	child_of
1316	380	child_of
2042	814	child_of
303	2256	child_of
3999	691	child_of
3999	2170	linked_to
2965	3484	child_of
3355	377	child_of
2164	2955	child_of
2620	2075	child_of
2620	471	linked_to
3069	3185	child_of
3069	3900	linked_to
2114	3664	child_of
2114	885	linked_to
3964	548	child_of
468	645	child_of
285	1172	child_of
4101	3411	child_of
4101	3834	linked_to
1560	1081	child_of
1186	4016	child_of
3362	2232	child_of
1895	21	child_of
272	1423	child_of
2820	3464	child_of
3889	2495	child_of
245	3118	child_of
2722	3545	child_of
1206	1550	child_of
1206	517	linked_to
1206	3968	linked_to
3156	1770	child_of
2336	3758	child_of
2189	48	child_of
1670	3761	child_of
1670	41	linked_to
1670	1473	linked_to
1670	3115	linked_to
1670	1345	linked_to
1270	1820	child_of
786	3702	child_of
786	187	linked_to
786	4084	linked_to
786	112	linked_to
507	695	child_of
3873	1935	child_of
3873	3551	linked_to
3067	3024	child_of
3067	2302	linked_to
3067	1506	linked_to
3067	3585	linked_to
3020	2383	child_of
2052	1950	child_of
2365	1610	child_of
2365	1589	linked_to
551	2897	child_of
1987	257	child_of
1987	543	linked_to
3736	1137	child_of
3736	141	linked_to
3736	14	linked_to
3736	3073	linked_to
3736	1206	linked_to
83	843	child_of
83	2969	linked_to
101	2541	child_of
3757	2182	child_of
1426	1365	child_of
951	1109	child_of
1805	1662	child_of
2373	3419	child_of
3312	3328	child_of
2761	2487	child_of
3649	177	child_of
188	166	child_of
834	882	child_of
1138	1508	child_of
3547	748	child_of
3064	2893	child_of
2592	4106	child_of
1902	3301	child_of
1902	496	linked_to
1093	544	child_of
541	1569	child_of
105	1307	child_of
3672	3020	child_of
2861	2918	child_of
3499	1050	child_of
1956	130	child_of
1956	1298	linked_to
2505	516	child_of
557	2675	child_of
557	1160	linked_to
2427	3877	child_of
2427	2542	linked_to
3814	3748	child_of
161	2015	child_of
161	3593	linked_to
161	928	linked_to
161	427	linked_to
161	1721	linked_to
833	1892	child_of
192	1050	child_of
1871	1955	child_of
1465	826	child_of
2465	2313	child_of
2465	751	linked_to
2909	1220	child_of
3738	1467	child_of
3205	3536	child_of
3205	863	linked_to
263	622	child_of
263	3641	linked_to
748	2185	child_of
1363	2422	child_of
1994	3070	child_of
4052	123	child_of
3377	2955	child_of
3275	3802	child_of
2697	3825	child_of
2697	3048	linked_to
1649	3845	child_of
1121	1083	child_of
1121	2416	linked_to
894	1273	child_of
88	1273	child_of
3937	2370	child_of
291	772	child_of
2991	2317	child_of
3561	644	child_of
1633	234	child_of
2004	257	child_of
583	2702	child_of
1176	177	child_of
301	2283	child_of
3766	2283	child_of
1431	4054	child_of
882	4117	child_of
2273	2359	child_of
2273	1186	linked_to
2273	2041	linked_to
1348	2015	child_of
4043	1992	child_of
3413	897	child_of
370	2441	child_of
1016	3372	child_of
1205	2163	child_of
1762	140	child_of
1762	2303	linked_to
3838	1424	child_of
3154	2925	child_of
3502	1264	child_of
3903	2781	child_of
2018	3122	child_of
2018	1564	linked_to
1464	404	child_of
1464	1104	linked_to
1464	4114	linked_to
1464	2542	linked_to
1464	3045	linked_to
1464	1107	linked_to
862	1470	child_of
289	439	child_of
289	2170	linked_to
289	1	linked_to
289	2635	linked_to
3202	3414	child_of
3881	785	child_of
2957	577	child_of
2957	355	linked_to
2672	2469	child_of
2672	3262	linked_to
2672	957	linked_to
1481	769	child_of
1481	617	linked_to
2033	1397	child_of
282	1882	child_of
960	2332	child_of
622	96	child_of
622	341	linked_to
106	502	child_of
1384	3565	child_of
867	3939	child_of
2827	3223	child_of
2813	3893	child_of
3832	3361	child_of
3302	3618	child_of
3302	2622	linked_to
3302	1995	linked_to
157	3672	child_of
808	3898	child_of
1052	2973	child_of
1341	901	child_of
3785	1742	child_of
3262	2378	child_of
3203	1995	child_of
4003	3572	child_of
1816	979	child_of
1508	1675	child_of
306	4108	child_of
220	1900	child_of
3290	3381	child_of
3290	3689	linked_to
3290	1809	linked_to
3728	1390	child_of
2784	1675	child_of
2653	1914	child_of
1445	2099	child_of
1445	930	linked_to
1445	2931	linked_to
1445	3412	linked_to
1445	341	linked_to
1445	3266	linked_to
1828	3417	child_of
4067	2521	child_of
919	3632	child_of
1696	3695	child_of
1042	407	child_of
3006	932	child_of
2565	1230	child_of
2565	865	linked_to
3933	4078	child_of
2948	3933	child_of
1115	3219	child_of
417	3253	child_of
2475	1886	child_of
932	4053	child_of
3079	3268	child_of
2036	3559	child_of
2036	3961	linked_to
550	761	child_of
2162	1720	child_of
1478	2787	child_of
108	2567	child_of
2912	1226	child_of
401	1637	child_of
1922	3580	child_of
3491	2441	child_of
1251	444	child_of
2019	2584	child_of
3930	2980	child_of
1637	1787	child_of
3511	1275	child_of
4112	549	child_of
2460	1099	child_of
2460	2350	linked_to
2971	1569	child_of
1642	2190	child_of
1462	2830	child_of
585	153	child_of
2225	584	child_of
135	114	child_of
3650	3095	child_of
3650	928	linked_to
928	3095	child_of
364	928	child_of
866	802	child_of
1336	202	child_of
2109	1666	child_of
2595	924	child_of
2676	3367	child_of
2206	2460	child_of
2206	78	linked_to
2206	2224	linked_to
3948	3171	child_of
114	1763	child_of
361	2428	child_of
4122	2947	child_of
3665	3965	child_of
3665	3062	linked_to
3287	3603	child_of
2256	1622	child_of
2660	469	child_of
1196	1509	child_of
642	905	child_of
4084	3831	child_of
180	2533	child_of
2929	1808	child_of
2929	3523	linked_to
3489	3726	child_of
1769	3454	child_of
828	327	child_of
757	2424	child_of
757	828	linked_to
757	3290	linked_to
1900	2551	child_of
3123	3485	child_of
2579	990	child_of
421	2010	child_of
3714	976	child_of
2550	1243	child_of
839	2440	child_of
3363	1442	child_of
2090	2365	child_of
2090	2518	linked_to
2090	2833	linked_to
214	3561	child_of
2320	214	child_of
1058	1869	child_of
1058	3593	linked_to
3995	244	child_of
2870	863	child_of
2870	3536	linked_to
2870	3425	linked_to
2870	2330	linked_to
2870	3952	linked_to
147	1868	child_of
147	842	linked_to
2028	3049	child_of
3371	2695	child_of
729	3685	child_of
1966	3811	child_of
1966	1572	linked_to
3603	3821	child_of
1157	1652	child_of
1157	762	linked_to
3351	211	child_of
3351	1876	linked_to
3721	2039	child_of
3721	2170	linked_to
3721	543	linked_to
2729	1063	child_of
2924	1116	child_of
2007	3842	child_of
1615	2953	child_of
78	3272	child_of
78	930	linked_to
670	3265	child_of
3725	3677	child_of
3576	595	child_of
996	3185	child_of
140	3519	child_of
140	1876	linked_to
140	3523	linked_to
2480	2838	child_of
1268	2750	child_of
3027	1516	child_of
1835	3186	child_of
13	3340	child_of
3013	2877	child_of
1231	1045	child_of
3651	2545	child_of
3008	3651	child_of
176	2002	child_of
1936	1962	child_of
3524	1936	child_of
3524	3208	linked_to
832	2960	child_of
1804	3437	child_of
3824	702	child_of
3824	3048	linked_to
1094	1011	child_of
3099	3335	child_of
3942	2940	child_of
2214	26	child_of
2690	4015	child_of
1551	1693	child_of
1178	3361	child_of
365	1507	child_of
1029	1767	child_of
4044	358	child_of
3469	956	child_of
531	1689	child_of
531	1749	linked_to
3944	3131	child_of
3944	2136	linked_to
3944	327	linked_to
3944	1871	linked_to
3944	2699	linked_to
3944	1169	linked_to
3944	3638	linked_to
3944	439	linked_to
3944	4004	linked_to
3944	1382	linked_to
3944	2391	linked_to
3944	1102	linked_to
3944	478	linked_to
3944	3057	linked_to
3944	1702	linked_to
3944	116	linked_to
2165	1233	child_of
474	3288	child_of
474	807	linked_to
2925	448	child_of
1669	1045	child_of
384	2543	child_of
2839	1045	child_of
1230	3189	child_of
4053	630	child_of
3606	1621	child_of
790	869	child_of
2573	2043	child_of
158	916	child_of
1435	2314	child_of
1435	2224	linked_to
2631	1961	child_of
2631	1259	linked_to
2631	2186	linked_to
2631	3047	linked_to
469	3804	child_of
1964	1287	child_of
4013	3278	child_of
4013	3961	linked_to
525	3845	child_of
525	913	linked_to
3193	2321	child_of
3193	3865	linked_to
3643	3750	child_of
375	3583	child_of
375	2911	linked_to
4058	2961	child_of
893	3278	child_of
1487	1163	child_of
2173	1913	child_of
1945	1523	child_of
3299	3027	child_of
3299	3551	linked_to
3338	1425	child_of
3338	3761	linked_to
3338	438	linked_to
1220	1645	child_of
3762	2473	child_of
1507	1937	child_of
470	1366	child_of
2931	3266	child_of
1543	1619	child_of
3758	3627	child_of
2648	1644	child_of
3103	4088	child_of
597	3088	child_of
2332	3549	child_of
4117	2338	child_of
1332	2144	child_of
2433	3909	child_of
725	4017	child_of
1823	2637	child_of
3808	1688	child_of
631	998	child_of
2934	2850	child_of
3097	526	child_of
515	61	child_of
4081	3990	child_of
1131	928	child_of
1497	2741	child_of
2721	2788	child_of
2070	482	child_of
3336	3901	child_of
3336	2257	linked_to
2887	2627	child_of
930	2728	child_of
930	2397	linked_to
3437	2106	child_of
1691	2379	child_of
329	867	child_of
3228	945	child_of
3228	3864	linked_to
1404	1441	child_of
1404	813	linked_to
3901	3762	child_of
2626	3989	child_of
3539	2169	child_of
940	2074	child_of
2075	1428	child_of
2075	1876	linked_to
3703	118	child_of
1587	3025	child_of
3173	1700	child_of
715	4086	child_of
715	2876	linked_to
1855	1011	child_of
3416	1642	child_of
273	2656	child_of
2567	2946	child_of
2787	1656	child_of
1601	3195	child_of
965	3250	child_of
354	1013	child_of
354	3702	linked_to
1129	1119	child_of
3847	3053	child_of
3216	3226	child_of
3216	553	linked_to
17	1431	child_of
3917	3169	child_of
3917	2597	linked_to
823	519	child_of
1069	2014	child_of
2719	2666	child_of
2069	2353	child_of
2069	1653	linked_to
3255	2066	child_of
3687	3672	child_of
4035	1653	child_of
4035	1175	linked_to
314	1264	child_of
31	2007	child_of
3961	1550	child_of
2304	3538	child_of
2790	1700	child_of
2790	1624	linked_to
2790	2802	linked_to
1981	3424	child_of
3184	2120	child_of
1376	790	child_of
1376	54	linked_to
1376	2120	linked_to
2429	1319	child_of
4068	4057	child_of
510	2049	child_of
2635	3183	child_of
2635	3412	linked_to
3577	3238	child_of
2217	2539	child_of
2217	1911	linked_to
743	1268	child_of
743	1125	linked_to
743	3048	linked_to
1474	2251	child_of
1836	2429	child_of
3108	1664	child_of
2305	2138	child_of
274	348	child_of
3662	2878	child_of
1735	1604	child_of
250	19	child_of
1978	1651	child_of
1355	2207	child_of
3393	838	child_of
2022	848	child_of
732	1829	child_of
3148	396	child_of
234	3440	child_of
1345	1236	child_of
1345	3557	linked_to
1345	797	linked_to
1345	1425	linked_to
2470	3663	child_of
2470	1198	linked_to
719	2394	child_of
719	3654	linked_to
1972	1072	child_of
1972	2324	linked_to
3472	3894	child_of
1159	2632	child_of
1159	2302	linked_to
2326	1931	child_of
623	2806	child_of
623	2170	linked_to
1103	589	child_of
2894	478	child_of
98	3403	child_of
2379	1078	child_of
2830	2817	child_of
1413	2062	child_of
1991	3355	child_of
3994	3440	child_of
3952	79	child_of
1080	3515	child_of
1080	2932	linked_to
754	3821	child_of
2303	856	child_of
2131	3793	child_of
3490	1622	child_of
2825	1208	child_of
3552	966	child_of
12	2110	child_of
809	223	child_of
1473	3966	child_of
3225	1595	child_of
2928	2578	child_of
2753	534	child_of
3320	2646	child_of
1322	753	child_of
538	1073	child_of
25	1387	child_of
3953	1719	child_of
2588	3405	child_of
2588	1703	linked_to
2895	1732	child_of
2341	3405	child_of
2341	3047	linked_to
2130	49	child_of
2130	1132	linked_to
532	210	child_of
532	3359	linked_to
1225	2709	child_of
4045	3423	child_of
4045	553	linked_to
323	359	child_of
3962	1696	child_of
3581	603	child_of
1025	1252	child_of
731	2297	child_of
2277	89	child_of
1841	1554	child_of
1841	3450	linked_to
3353	900	child_of
2836	3312	child_of
3358	1790	child_of
3358	574	linked_to
3358	264	linked_to
3358	1160	linked_to
195	943	child_of
376	940	child_of
1257	3465	child_of
2970	4114	child_of
2411	1659	child_of
2411	2170	linked_to
2982	1257	child_of
3180	1025	child_of
1106	3106	child_of
1106	3200	linked_to
1106	718	linked_to
684	122	child_of
4047	2547	child_of
4047	2186	linked_to
3482	3398	child_of
2540	1891	child_of
2540	1393	linked_to
2914	2042	child_of
2139	1950	child_of
1801	1167	child_of
1801	444	linked_to
1801	702	linked_to
1801	2909	linked_to
1801	2888	linked_to
1801	930	linked_to
1801	2116	linked_to
1801	3826	linked_to
1801	471	linked_to
1801	3048	linked_to
1801	543	linked_to
593	2202	child_of
1163	3580	child_of
3602	2210	child_of
3602	438	linked_to
3602	3406	linked_to
122	3884	child_of
132	3684	child_of
3455	1452	child_of
3455	2622	linked_to
838	3868	child_of
338	1901	child_of
2078	1521	child_of
1862	1646	child_of
3178	2181	child_of
3178	3593	linked_to
2583	1120	child_of
1118	1222	child_of
3655	3445	child_of
1879	1815	child_of
528	1118	child_of
1482	3021	child_of
1482	1958	linked_to
1482	670	linked_to
1482	1592	linked_to
1482	1632	linked_to
2889	3547	child_of
215	657	child_of
3035	2189	child_of
3795	2993	child_of
1285	1054	child_of
2504	2778	child_of
63	1827	child_of
1827	703	child_of
2421	1452	child_of
2421	1916	linked_to
2421	2622	linked_to
712	2055	child_of
712	360	linked_to
2393	3783	child_of
458	3783	child_of
844	3727	child_of
3727	2787	child_of
102	2655	child_of
102	1517	linked_to
216	2963	child_of
3463	2277	child_of
1517	2944	child_of
1517	3614	linked_to
711	171	child_of
1958	1475	child_of
1958	2363	linked_to
1958	1461	linked_to
1539	2777	child_of
2871	127	child_of
2464	511	child_of
2464	1623	linked_to
2464	2787	linked_to
2464	3607	linked_to
2464	2622	linked_to
3754	2511	child_of
225	2369	child_of
624	167	child_of
1135	441	child_of
1135	3341	linked_to
1548	3039	child_of
2707	1717	child_of
2707	1246	linked_to
2707	363	linked_to
2707	2271	linked_to
2501	796	child_of
2796	3244	child_of
1224	1474	child_of
444	1836	child_of
3945	1922	child_of
3835	1022	child_of
2746	3341	child_of
2746	441	linked_to
3280	1297	child_of
1553	1750	child_of
1553	418	linked_to
1553	1311	linked_to
1400	2098	child_of
371	1572	child_of
371	1611	linked_to
371	2958	linked_to
371	724	linked_to
371	1281	linked_to
371	316	linked_to
371	1903	linked_to
371	3045	linked_to
371	3311	linked_to
371	3702	linked_to
986	567	child_of
3800	1588	child_of
15	842	child_of
15	1314	linked_to
56	469	child_of
3659	1316	child_of
1433	3236	child_of
646	3011	child_of
1852	2263	child_of
1393	1316	child_of
1393	2376	linked_to
1393	19	linked_to
3142	739	child_of
2541	1116	child_of
3699	1154	child_of
91	1645	child_of
91	427	linked_to
91	2909	linked_to
554	976	child_of
1083	2847	child_of
1556	2070	child_of
1809	4118	child_of
1809	2353	linked_to
1809	1653	linked_to
1809	2424	linked_to
2353	1175	child_of
2858	2433	child_of
2858	2834	linked_to
2858	2636	linked_to
251	2607	child_of
1763	2219	child_of
3386	1087	child_of
1026	2268	child_of
2268	1763	child_of
3462	3766	child_of
1171	1903	child_of
2312	1867	child_of
685	3270	child_of
1087	4090	child_of
4090	3230	child_of
59	3578	child_of
3578	1357	child_of
2834	3851	child_of
1415	558	child_of
1799	1174	child_of
1174	733	child_of
769	1099	child_of
769	2350	linked_to
2424	3381	child_of
2424	391	linked_to
1916	4121	child_of
1916	1452	linked_to
1916	3593	linked_to
1916	1951	linked_to
1916	1559	linked_to
3677	357	child_of
2443	981	child_of
258	948	child_of
3418	3545	child_of
1775	1663	child_of
1775	1751	linked_to
1775	3295	linked_to
1775	2063	linked_to
50	3109	child_of
3062	3865	child_of
3062	1439	linked_to
3062	2321	linked_to
1078	163	child_of
90	3822	child_of
1980	965	child_of
3473	4010	child_of
942	3422	child_of
2144	3562	child_of
3139	1466	child_of
963	306	child_of
2683	2949	child_of
1036	1830	child_of
796	1170	child_of
3932	713	child_of
422	2444	child_of
2643	2410	child_of
2779	3543	child_of
1552	2238	child_of
2238	2683	child_of
956	675	child_of
487	3400	child_of
2521	2684	child_of
1629	4015	child_of
3842	2487	child_of
2023	931	child_of
133	3487	child_of
3609	3994	child_of
3609	930	linked_to
1596	2304	child_of
120	996	child_of
120	2701	linked_to
2502	3880	child_of
1418	2251	child_of
3984	996	child_of
3984	1298	linked_to
1422	3816	child_of
740	1170	child_of
763	2165	child_of
1911	2539	child_of
1911	1947	linked_to
3796	3554	child_of
880	2024	child_of
2399	3318	child_of
3874	2568	child_of
457	31	child_of
3181	586	child_of
3465	2800	child_of
2198	3697	child_of
3243	3485	child_of
3243	3123	linked_to
1203	4000	child_of
1203	2764	linked_to
1203	3671	linked_to
1651	1980	child_of
1305	414	child_of
1305	1464	linked_to
1305	3496	linked_to
1305	679	linked_to
1305	140	linked_to
1467	1468	child_of
2712	1975	child_of
1975	4063	child_of
3138	1361	child_of
3138	1183	linked_to
3820	2012	child_of
947	2910	child_of
252	3872	child_of
1215	1485	child_of
1746	2371	child_of
1860	4111	child_of
2748	1321	child_of
648	2681	child_of
3913	3733	child_of
3913	3593	linked_to
253	2859	child_of
2873	2354	child_of
