5745	5510
5745	5503
8282	7642
8282	S000001770
5111	S000001729
5111	5103
9418	8941
9418	8780
9418	9046
9418	9071
5988	S000003933
5988	5317
5989	5988
5989	S000005567
5989	S000005569
8805	S000004849
8805	S000000402
8805	S000004045
8805	S000004798
8805	S000006175
8805	S000000678
8805	S000002583
8805	S000002800
8805	S000005508
8805	9382
8805	S000003080
8805	S000000285
8805	S000002552
8805	S000005549
8805	S000002574
8805	S000003484
8805	S000004466
8805	S000001141
8805	S000004836
8805	9113
8805	S000000516
8805	S000004976
8805	S000003034
8805	S000002632
8805	S000006003
8805	S000002856
8805	S000005968
8805	S000000214
8805	S000002285
8805	S000028510
5982	S000004078
5982	S000002739
5982	S000001231
5982	S000004451
5982	S000003448
5982	S000002842
5983	5418
5983	S000003607
5983	7214
5981	S000002284
5981	S000004839
5981	S000004195
5981	S000004637
5981	S000001613
5981	S000003584
5981	S000003281
5986	S000002765
5986	5334
5987	S000002729
5987	5986
5987	S000002285
5984	5902
5984	5293
5985	S000001278
5985	5681
7517	S000005154
7517	S000000831
7517	S000004289
7517	S000002643
7517	S000003245
7517	S000002648
7517	S000006134
7517	S000006386
7517	8096
7517	9039
7517	S000000323
7517	S000004137
7517	S000001128
7517	S000002245
7517	S000003959
7517	S000004509
7517	S000004339
7517	S000003272
7517	S000001323
7517	7789
7517	S000001495
7517	S000001208
7517	S000003306
7517	S000004265
7517	S000000974
7517	S000006099
7517	S000002965
7517	S000004732
7516	S000004846
7516	5646
7515	S000000502
7515	S000000501
7515	S000000641
7515	S000000488
7515	S000001099
7515	S000007221
7515	S000000482
7515	S000000481
7515	S000000619
7515	S000000657
7515	S000000688
7515	S000001506
7515	S000000681
7515	S000000683
7515	S000003253
7515	S000004611
7515	S000000622
7515	S000000621
7515	S000000473
7515	S000001340
7515	S000000490
7515	S000000646
7515	S000000499
7515	S000000485
7515	S000005575
7515	S000001117
7515	S000003672
7514	7567
7514	7515
7514	7349
7514	S000000621
7514	7743
7513	6432
7513	7037
7512	S000006085
7512	8498
7512	6147
7511	S000006395
7511	S000004997
7511	S000002244
7511	S000003809
7511	S000004815
7511	S000005326
7511	S000004195
7511	S000004143
7511	S000001774
7511	S000000141
7511	S000002910
7511	S000000846
7511	S000003261
7511	S000003559
7511	S000000665
7511	S000003281
7511	S000001114
7511	S000004595
7510	S000003164
7510	S000002530
7510	S000002700
7510	S000005468
7510	S000003389
7510	S000004055
7510	S000000510
7510	S000003689
7510	S000000828
7510	S000003834
7510	S000000487
7510	S000001012
7510	S000003329
7510	S000004594
7510	8114
7030	S000000405
7030	S000004624
7030	S000001292
7030	S000004197
7030	S000002819
7030	S000000374
7030	S000004912
7030	S000002284
7030	S000003280
7030	S000004475
7030	S000005373
7030	S000002464
7519	S000005659
7519	S000001674
7519	S000000018
7519	S000003884
7519	S000000004
7519	S000003947
7519	S000003419
7519	S000004376
7519	S000007587
7519	S000005481
7519	S000004162
7519	S000003432
7519	S000006007
7519	S000005622
7519	S000001365
7518	6054
7518	8321
7518	6346
6363	6362
6363	S000005570
8802	8369
8802	S000006347
8802	8877
9861	9478
9861	9720
8165	9322
8165	S000006435
8165	S000004015
8165	7770
8803	S000003060
8803	S000004284
8803	S000004848
8803	S000004925
8803	S000002274
8803	S000001551
8803	S000002508
8803	S000002601
8803	S000002600
8803	S000000912
8803	S000004650
8803	S000002743
8803	S000001927
8803	S000003450
8803	S000000327
8803	S000002803
8803	S000005217
8803	S000004868
8803	S000003835
8803	S000000967
8803	S000004339
8803	S000006046
8803	S000000221
8803	S000004762
8803	S000002246
8803	S000000909
8803	S000005572
8803	S000002366
8803	S000003597
8803	S000005483
8803	S000002873
8803	S000001540
8803	S000000175
8803	S000005133
8803	S000000143
8803	S000004994
8803	S000000750
8803	S000003947
8803	S000003090
8803	S000001790
8803	S000004761
8803	S000004685
8803	S000004327
8803	S000004571
8803	S000004008
8803	S000003803
8803	S000004736
8803	S000006090
6150	S000001583
6150	S000004801
6150	S000004787
6150	S000002859
6150	S000001253
6150	S000003986
6150	S000000985
6151	S000000308
6151	S000000420
6151	S000002997
6151	S000006269
6151	S000006268
6151	S000000993
6151	S000006282
6151	S000002403
6152	S000002831
6152	S000004099
6152	S000000420
6152	S000001249
6152	S000003126
6152	S000006268
6152	S000004466
6153	S000005224
6153	S000000999
6153	S000004046
6153	S000000846
6153	S000004617
6153	S000002980
6153	S000003407
6153	S000002969
6153	S000001049
6153	S000004467
6153	S000004815
6154	S000002388
6154	S000004407
6154	S000005511
6154	S000004941
6154	S000005355
6154	S000005078
6154	S000003969
6155	S000005909
6155	S000005078
6155	S000000791
6155	S000005518
6155	S000005511
6156	6086
6156	6556
6156	6155
6157	5591
6157	6154
8697	S000000521
8697	S000001234
8697	S000000818
8697	S000004746
8697	S000002726
8697	S000006174
8697	S000001886
8697	S000000534
8697	S000002588
8697	S000004373
8697	S000006345
8697	S000004593
8697	S000003550
8697	S000002847
8697	S000001900
8697	S000003185
8697	S000003084
8697	S000005876
8697	S000002556
8697	S000002940
8697	S000004811
