S000002469	YDR062W	LCB2	S000004539	YML074C	FPR3
S000002304	YDL145C	COP1	S000003022	YGL054C	ERV14
S000002918	YDR510W	SMT3	S000004802	YMR190C	SGS1
S000002879	YDR471W	RPL27B	S000006001	YPL080C	
S000003772	YJR011C		S000003786	YJR025C	BNA1
S000000833	YER031C	YPT31	S000005201	YNL257C	SIP3
S000004977	YNL032W	SIW14	S000005468	YOL108C	INO4
S000004746	YMR138W	CIN4	S000006162	YPL241C	CIN2
S000003723	YJL187C	SWE1	S000003724	YJL188C	BUD19
S000000914	YER112W	LSM4	S000001803	YKR095W	MLP1
S000006024	YPL103C	FMP30	S000006083	YPL162C	
S000000063	YAR002W	NUP60	S000001790	YKR082W	NUP133
S000003025	YGL057C	GEP7	S000003195	YGL226W	MTC3
S000000442	YBR238C		S000004183	YLR193C	UPS1
S000000385	YBR181C	RPS6B	S000003713	YJL177W	RPL17B
S000002127	YER019C-A	SBH2	S000004203	YLR213C	CRR1
S000000916	YER114C	BOI2	S000004200	YLR210W	CLB4
S000002362	YDL203C	ACK1	S000005313	YNR030W	ALG12
S000001592	YKL109W	HAP4	S000005885	YOR358W	HAP5
S000000969	YER167W	BCK2	S000005802	YOR276W	CAF20
S000000886	YER084W		S000005977	YPL056C	LCL1
S000000817	YER015W	FAA2	S000006161	YPL240C	HSP82
S000000815	YER013W	PRP22	S000006305	YPR101W	SNT309
S000004342	YLR350W	ORM2	S000004885	YMR272C	SCS7
S000000130	YBL034C	STU1	S000000729	YEL003W	GIM4
S000004799	YMR187C		S000005244	YNL300W	TOS6
S000002995	YGL027C	CWH41	S000004077	YLR087C	CSF1
S000000885	YER083C	GET2	S000004258	YLR268W	SEC22
S000001295	YIL033C	BCY1	S000001412	YIL150C	MCM10
S000002904	YDR496C	PUF6	S000004882	YMR269W	TMA23
S000006134	YPL213W	LEA1	S000006382	YPR178W	PRP4
S000002855	YDR447C	RPS17B	S000004488	YML026C	RPS18B
S000002945	YDR537C		S000002104	YFR031C-A	RPL2A
