5196 (pp) S000003757,gene_association
7085 (pp) 6934,parent_of
8552 (pp) 8243,parent_of
6815 (pp) S000005308,gene_association
5197 (pp) S000005912,gene_association
5850 (pp) S000029704,gene_association
9347 (pp) S000005593,gene_association
10007 (pp) 9890,parent_of
7636 (pp) 7208,parent_of
6454 (pp) 5585,parent_of
9166 (pp) 8552,parent_of
5286 (pp) S000005488,gene_association
7318 (pp) 6587,parent_of
8578 (pp) S000002266,gene_association
9521 (pp) 8619,parent_of
7230 (pp) 5162,parent_of
7825 (pp) S000002730,gene_association
8777 (pp) S000006001,gene_association
8350 (pp) S000004387,gene_association
6594 (pp) 6572,parent_of
9697 (pp) 9350,parent_of
8343 (pp) 8258,parent_of
5271 (pp) S000003223,gene_association
5382 (pp) 5191,parent_of
6167 (pp) S000005866,gene_association
5848 (pp) S000003356,gene_association
5411 (pp) S000000745,gene_association
7271 (pp) S000003354,gene_association
9826 (pp) S000001600,gene_association
8537 (pp) S000003185,gene_association
6023 (pp) S000005558,gene_association
8481 (pp) S000001447,gene_association
6110 (pp) S000004576,gene_association
9854 (pp) 9578,parent_of
9445 (pp) 8866,parent_of
7423 (pp) 6603,parent_of
7922 (pp) S000000501,gene_association
8943 (pp) 7594,parent_of
9264 (pp) S000005051,gene_association
7250 (pp) 6580,parent_of
7714 (pp) S000002408,gene_association
8814 (pp) 7991,parent_of
9017 (pp) 8078,parent_of
6637 (pp) S000002343,gene_association
8739 (pp) 8000,parent_of
5828 (pp) S000003312,gene_association
6077 (pp) S000005017,gene_association
7212 (pp) 6834,parent_of
7594 (pp) S000004062,gene_association
7303 (pp) 6506,parent_of
9787 (pp) 9635,parent_of
7608 (pp) 7301,parent_of
7445 (pp) 6266,parent_of
8152 (pp) S000004312,gene_association
8338 (pp) 7326,parent_of
5249 (pp) S000002941,gene_association
6423 (pp) S000006121,gene_association
5837 (pp) S000003661,gene_association
7550 (pp) S000006367,gene_association
9915 (pp) 9449,parent_of
9497 (pp) 8753,parent_of
8132 (pp) 7680,parent_of
5689 (pp) S000000549,gene_association
9794 (pp) 9447,parent_of
8576 (pp) S000005527,gene_association
7274 (pp) S000001681,gene_association
5571 (pp) S000001221,gene_association
6920 (pp) S000028421,gene_association
6593 (pp) 5897,parent_of
8818 (pp) 8440,parent_of
8927 (pp) 8051,parent_of
9874 (pp) 9468,parent_of
9746 (pp) 9377,parent_of
5340 (pp) S000001361,gene_association
8607 (pp) 8185,parent_of
6640 (pp) S000004249,gene_association
5921 (pp) S000005322,gene_association
9320 (pp) 8677,parent_of
6942 (pp) 6941,parent_of
9483 (pp) S000003855,gene_association
8131 (pp) S000005126,gene_association
6130 (pp) 6129,parent_of
7351 (pp) S000005590,gene_association
7028 (pp) 5847,parent_of
6395 (pp) S000000314,gene_association
8654 (pp) S000003768,gene_association
9530 (pp) 9216,parent_of
8588 (pp) 7662,parent_of
8623 (pp) S000000520,gene_association
8551 (pp) S000005180,gene_association
8686 (pp) 8203,parent_of
7152 (pp) S000004816,gene_association
9707 (pp) S000005215,gene_association
8732 (pp) S000001073,gene_association
9350 (pp) 9064,parent_of
7176 (pp) 6269,parent_of
5965 (pp) 5964,parent_of
9393 (pp) 9250,parent_of
9565 (pp) 9151,parent_of
9400 (pp) S000000245,gene_association
8659 (pp) 7443,parent_of
8286 (pp) 7876,parent_of
5157 (pp) S000000274,gene_association
