"SUID","canonicalName","Edge_conflicts","interaction","name","NeXO relation type","selected","shared interaction","shared name"
"41817","9225 (4) S000000183","","4","9225 (4) S000000183","additional_gene_association","false","4","9225 (4) S000000183"
"24258","8140 (2) S000002299","","2","8140 (2) S000002299","additional_gene_association","false","2","8140 (2) S000002299"
"24773","8587 (2) S000004675","","2","8587 (2) S000004675","additional_gene_association","false","2","8587 (2) S000004675"
"28654","7756 (2) S000006333","","2","7756 (2) S000006333","additional_gene_association","false","2","7756 (2) S000006333"
"28341","8924 (2) S000004163","","2","8924 (2) S000004163","additional_gene_association","false","2","8924 (2) S000004163"
"21317","8234 (2) S000005871","","2","8234 (2) S000005871","additional_gene_association","false","2","8234 (2) S000005871"
"33584","9505 (2) S000005835","","2","9505 (2) S000005835","additional_gene_association","false","2","9505 (2) S000005835"
"43754","9239 (2) S000004947","","2","9239 (2) S000004947","additional_gene_association","false","2","9239 (2) S000004947"
"36946","8557 (2) S000003011","","2","8557 (2) S000003011","additional_gene_association","false","2","8557 (2) S000003011"
"38510","8301 (2) S000004659","","2","8301 (2) S000004659","additional_gene_association","false","2","8301 (2) S000004659"
"39525","9037 (2) S000002254","","2","9037 (2) S000002254","additional_gene_association","false","2","9037 (2) S000002254"
"10639","5703 (pp) S000004930","","pp","5703 (pp) S000004930","gene_association","false","pp","5703 (pp) S000004930"
"24105","8334 (2) S000002299","","2","8334 (2) S000002299","additional_gene_association","false","2","8334 (2) S000002299"
"14237","5939 (pp) S000001299","","pp","5939 (pp) S000001299","gene_association","false","pp","5939 (pp) S000001299"
"22955","8854 (2) S000004176","","2","8854 (2) S000004176","additional_gene_association","false","2","8854 (2) S000004176"
"38682","9538 (4) S000005708","","4","9538 (4) S000005708","additional_gene_association","false","4","9538 (4) S000005708"
"13099","5450 (pp) 5449","","pp","5450 (pp) 5449","parent_of","false","pp","5450 (pp) 5449"
"14611","5915 (pp) S000006043","","pp","5915 (pp) S000006043","gene_association","false","pp","5915 (pp) S000006043"
"22336","7542 (4) S000003582","","4","7542 (4) S000003582","additional_gene_association","false","4","7542 (4) S000003582"
"27560","8191 (2) S000005256","","2","8191 (2) S000005256","additional_gene_association","false","2","8191 (2) S000005256"
"20288","6839 (2) S000005381","","2","6839 (2) S000005381","additional_gene_association","false","2","6839 (2) S000005381"
"10111","6703 (pp) 5831","","pp","6703 (pp) 5831","parent_of","false","pp","6703 (pp) 5831"
"22250","8261 (2) S000003934","","2","8261 (2) S000003934","additional_gene_association","false","2","8261 (2) S000003934"
"39678","8042 (2) S000001297","","2","8042 (2) S000001297","additional_gene_association","false","2","8042 (2) S000001297"
"10556","6949 (pp) S000003530","","pp","6949 (pp) S000003530","gene_association","false","pp","6949 (pp) S000003530"
"18449","7002 (1) 9184","","1","7002 (1) 9184","additional_parent_of","false","1","7002 (1) 9184"
"40587","7465 (4) S000002832","","4","7465 (4) S000002832","additional_gene_association","false","4","7465 (4) S000002832"
"12946","8697 (pp) S000006174","","pp","8697 (pp) S000006174","gene_association","false","pp","8697 (pp) S000006174"
"35203","8650 (4) S000003054","","4","8650 (4) S000003054","additional_gene_association","false","4","8650 (4) S000003054"
"41556","7972 (2) S000003598","","2","7972 (2) S000003598","additional_gene_association","false","2","7972 (2) S000003598"
"24315","9607 (4) S000006323","","4","9607 (4) S000006323","additional_gene_association","false","4","9607 (4) S000006323"
"38724","9538 (4) S000003884","","4","9538 (4) S000003884","additional_gene_association","false","4","9538 (4) S000003884"
"14406","6011 (pp) 5262","","pp","6011 (pp) 5262","parent_of","false","pp","6011 (pp) 5262"
"36890","7110 (2) S000005206","","2","7110 (2) S000005206","additional_gene_association","false","2","7110 (2) S000005206"
"37833","9430 (2) S000000907","","2","9430 (2) S000000907","additional_gene_association","false","2","9430 (2) S000000907"
"34304","7216 (2) S000004638","","2","7216 (2) S000004638","additional_gene_association","false","2","7216 (2) S000004638"
